
Host: login-phoenix-slurm-1.pace.gatech.edu

Timers On : Tue Sep  5 12:50:12 2023
Timers Off: Tue Sep  5 12:50:55 2023

Wall Time:       43.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.383u      0.000s      0.902w     24 calls
build grid                          :      0.850u      0.000s      0.550w     24 calls
post-process grid                   :      0.533u      0.000s      0.291w     24 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.321w     14 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.322w     98 calls
DFH: initialize()                   :      0.300u      0.017s      0.582w     14 calls
DFH: AO Construction                :      0.083u      0.000s      0.038w     14 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.005w     14 calls
HF: Form core H                     :      0.067u      0.017s      0.050w     14 calls
HF: Form S/X                        :      0.000u      0.000s      0.017w     14 calls
HF: Guess                           :      0.117u      0.017s      0.239w     14 calls
SAD Guess                           :      0.100u      0.017s      0.235w      2 calls
HF: Form G                          :     15.200u      0.683s      9.693w     97 calls
RV: Form V                          :     15.167u      0.683s      9.670w     97 calls
Properties                          :      4.083u      0.183s      2.356w  60706 calls
Functional                          :     11.033u      0.483s      7.393w  60706 calls
V_xc                                :      2.550u      0.067s      1.451w  53053 calls
JK: D                               :      0.000u      0.000s      0.001w     97 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     97 calls
JK: JK                              :      0.017u      0.000s      0.014w     97 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.013w     97 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     97 calls
DFH: compute_J                      :      0.000u      0.000s      0.010w     97 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.001w     97 calls
HF: DIIS                            :      0.517u      0.150s      5.001w     95 calls
HF: Form C                          :      0.033u      0.000s      0.043w     95 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.006w     14 calls
Grad: S                             :      0.017u      0.000s      0.002w     14 calls
Grad: JK                            :      0.650u      0.033s      0.596w     14 calls
JKGrad: Amn                         :      0.150u      0.000s      0.081w     14 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.006w     14 calls
JKGrad: AB                          :      0.133u      0.000s      0.091w     14 calls
JKGrad: UV                          :      0.000u      0.000s      0.000w     14 calls
JKGrad: ABx                         :      0.083u      0.000s      0.049w     14 calls
JKGrad: Amnx                        :      0.267u      0.017s      0.306w     14 calls
Grad: XC                            :      4.017u      0.133s      2.579w     14 calls
V_xc gradient                       :      1.150u      0.033s      0.685w   7653 calls
Grad: External                      :      0.017u      0.000s      0.020w     10 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.383u      0.000s      0.902w     24 calls
| build grid                        :      0.850u      0.000s      0.550w     24 calls
| post-process grid                 :      0.533u      0.000s      0.291w     24 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.321w     14 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.269w     14 calls
DFH: initialize()                   :      0.300u      0.017s      0.582w     14 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w     28 calls
| DFH: AO Construction              :      0.083u      0.000s      0.038w     14 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.005w     14 calls
HF: Form core H                     :      0.067u      0.017s      0.050w     14 calls
HF: Form S/X                        :      0.000u      0.000s      0.017w     14 calls
HF: Guess                           :      0.117u      0.017s      0.239w     14 calls
| SAD Guess                         :      0.100u      0.017s      0.235w      2 calls
HF: Form G                          :     15.200u      0.683s      9.693w     97 calls
| RV: Form V                        :     15.167u      0.683s      9.670w     97 calls
| | Properties                      :      2.583u      0.117s      1.437w  53053 calls
| | Functional                      :      9.700u      0.467s      6.473w  53053 calls
| | V_xc                            :      2.550u      0.067s      1.451w  53053 calls
| JK: D                             :      0.000u      0.000s      0.001w     97 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     97 calls
| JK: JK                            :      0.017u      0.000s      0.014w     97 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.013w     97 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     97 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.010w     97 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.000u      0.000s      0.002w     97 calls
HF: Form D                          :      0.000u      0.000s      0.001w     97 calls
HF: DIIS                            :      0.517u      0.150s      5.001w     95 calls
HF: Form C                          :      0.033u      0.000s      0.043w     95 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.006w     14 calls
Grad: S                             :      0.017u      0.000s      0.002w     14 calls
Grad: JK                            :      0.650u      0.033s      0.596w     14 calls
| JKGrad: Amn                       :      0.150u      0.000s      0.081w     14 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.012w     14 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.006w     14 calls
| JKGrad: AB                        :      0.133u      0.000s      0.091w     14 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w     14 calls
| JKGrad: UV                        :      0.000u      0.000s      0.000w     14 calls
| JKGrad: ABx                       :      0.083u      0.000s      0.049w     14 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.003w     14 calls
| JKGrad: Amnx                      :      0.267u      0.017s      0.306w     14 calls
